<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.MSFT,60,20150102,180000,46.6600000,47.4200000,46.6300000,47.2720000,4613757
US1.MSFT,60,20150102,190000,47.2800000,47.3000000,46.9200000,46.9550000,4476440
US1.MSFT,60,20150102,200000,46.9600000,46.9700000,46.5800000,46.7150000,2845623
US1.MSFT,60,20150102,210000,46.7200000,46.8400000,46.6200000,46.6300000,1795733
US1.MSFT,60,20150102,220000,46.6201000,46.7100000,46.5400000,46.6500000,2320977
US1.MSFT,60,20150102,230000,46.6500000,46.8000000,46.5450000,46.7160000,2073532
US1.MSFT,60,20150103,000000,46.7200000,46.9000000,46.5850000,46.7500000,5793005
US1.MSFT,60,20150105,180000,46.3700000,46.7300000,46.3000000,46.4500000,4627902
US1.MSFT,60,20150105,190000,46.4400000,46.5700000,46.3500000,46.4800000,5325147
US1.MSFT,60,20150105,200000,46.4700000,46.4950000,46.2600000,46.3800000,3378260
US1.MSFT,60,20150105,210000,46.3843000,46.4900000,46.3000000,46.3600000,3376918
US1.MSFT,60,20150105,220000,46.3600000,46.4350000,46.2500000,46.4000000,2536030
US1.MSFT,60,20150105,230000,46.3950000,46.4750000,46.2500000,46.3850000,3652621
US1.MSFT,60,20150106,000000,46.3900000,46.6250000,46.3000000,46.3300000,8066594
US1.MSFT,60,20150106,180000,46.3800000,46.7490000,46.2900000,46.5400000,2973284
US1.MSFT,60,20150106,190000,46.5400000,46.6800000,46.3600000,46.3890000,4934179
US1.MSFT,60,20150106,200000,46.3800000,46.3950000,46.1800000,46.1850000,3446883
US1.MSFT,60,20150106,210000,46.1800000,46.2100000,45.8300000,46.1700000,4321014
US1.MSFT,60,20150106,220000,46.1600000,46.1700000,45.6400000,45.8170000,3598087
US1.MSFT,60,20150106,230000,45.8100000,45.9865000,45.5400000,45.8599000,4137178
US1.MSFT,60,20150107,000000,45.8550000,46.0650000,45.5600000,45.6000000,7646508
US1.MSFT,60,20150107,180000,45.9800000,45.9900000,45.4900000,45.7400000,3879453
US1.MSFT,60,20150107,190000,45.7400000,45.9200000,45.6350000,45.8500000,3735696
US1.MSFT,60,20150107,200000,45.8500000,46.3200000,45.6800000,46.2900000,3730160
US1.MSFT,60,20150107,210000,46.2800000,46.4600000,46.2100000,46.4000000,3481250
US1.MSFT,60,20150107,220000,46.4000000,46.4400000,46.2500000,46.3224000,2680461
US1.MSFT,60,20150107,230000,46.3300000,46.3956000,46.1050000,46.1237000,2808856
US1.MSFT,60,20150108,000000,46.1230000,46.2800000,46.0900000,46.2300000,4627027
US1.MSFT,60,20150108,180000,46.7500000,47.4200000,46.7200000,47.3700000,3728324
US1.MSFT,60,20150108,190000,47.3700000,47.6350000,47.3200000,47.6300000,4648760
US1.MSFT,60,20150108,200000,47.6400000,47.7499000,47.4300000,47.4700000,3468029
US1.MSFT,60,20150108,210000,47.4700000,47.5800000,47.3800000,47.5300000,1909883
US1.MSFT,60,20150108,220000,47.5300000,47.6600000,47.4800000,47.5990000,2334166
US1.MSFT,60,20150108,230000,47.5900000,47.6300000,47.4700000,47.4800000,2899987
US1.MSFT,60,20150109,000000,47.4800000,47.6400000,47.4700000,47.5900000,5740848
US1.MSFT,60,20150109,180000,47.6100000,47.8200000,47.5200000,47.6600000,2960864
US1.MSFT,60,20150109,190000,47.6600000,47.6650000,47.1900000,47.3500000,3669560
